Language,String
en,Trend
zh-tw,潮流
zh-cn,潮流
nl,Trend
fr,Tendance
de,Trend
ja,トレンド
pt,Tendência
ru,В тренде
es,Tendencia
it,Tendenza
cs,Trend
ko,트렌드
tr,Popüler
