Language,String
en,Festive
zh-tw,節慶
zh-cn,节庆
nl,Feestelijk
fr,Festif
de,Festlich
ja,フェスティバル
pt,Festivo
ru,Праздники
es,Festivo
it,Feste
cs,Slavnostní
ko,축제
tr,Eğlence
fi,Juhlava
nb,Festlig
sv,Festligt
