Language,String
en,Gaming
zh-tw,遊戲
zh-cn,游戏
nl,Gaming
fr,Jeu
de,Gaming
ja,ゲーム
pt,Jogos
ru,Игры
es,Juegos
it,Gaming
cs,Hraní
ko,게이밍
tr,Oyun
